ticker,name,kurs,wolumen,obrot
TXT,(TEXT),4788,26521,1267575
UCG,(UNICREDIT),28000,182,51202
ULG,(ULTGAMES),1355,1907,25653
ULM,(ULMA),5650,1,57
UNF,(UNFOLD),130,14,19
UNI,(UNIBEP),1265,5853,74236
UNT,(UNIMOT),12980,616,79219
URT,(URTESTE),4400,340,15207
VGO,(VIGOPHOTN),49200,146,71869
VIN,(VINDEXUS),1165,2298,26938
VOT,(VOTUM),4660,1191,55856
VOX,(VOXEL),15400,221,34305
VRC,(VERCOM),12280,1013,123803
VRG,NA,475,66794,316205
VTL,(VISTAL),599,1007518,640076
VVD,(VIVID),838,21062,17605
WAS,(WASKO),1685,1735,2923
WIK,(WIKANA),680,93,632
WLT,(WIELTON),669,8138,54208
WPL,(WIRTUALNA),5400,11143,604878
WPR,(WOODPCKR),314,9258,29419
WTN,(WITTCHEN),1736,15512,268264
WWL,(WAWEL),70400,26,18208
WXF,(WARIMPEX),247,9902,24525
XPL,(XPLUS),269,2257,5988
XTB,NA,6936,127515,8914477
XTP,(XTPL),6860,1486,101548
YAN,(NEPTIS),1410,88,1241
YOL,(YOLO),335,42366,14211
YRL,(YARRL),744,822,6129
ZAB,(ZABKA),2320,1668837,38661059
ZAP,(PULAWY),4660,1150,53416
ZEP,(ZEPAK),2180,6083,132357
ZMT,(ZAMET),780,2084,1604
ZRE,(ZREMB),984,13374,132416
ZUE,NA,1060,2230,23628
ZUK,(STAPORKOW),400,164,643
